Date,Name,Year,Letterboxd URI,Rating,tmdb_type,tmdb_id
2017-07-15,Love Under the Crucifix,1962.0,https://boxd.it/7Atm,4.0,movie,257089
2017-07-15,The Criminal Code,1930.0,https://boxd.it/VXo,4.0,movie,42815
2017-07-15,Echoes of Silence,1965.0,https://boxd.it/52NS,5.0,movie,161742
2017-07-15,Husband and Wife,1953.0,https://boxd.it/7BOU,4.0,movie,257634
2017-07-15,Western Union,1941.0,https://boxd.it/Ty2,3.5,movie,43804
2017-07-15,Crisis in Six Scenes,2016.0,https://boxd.it/eN4S,2.5,tv,67443
2017-07-15,"The Trouble with 2b: Part Six, Blackboard Jungle",1972.0,https://boxd.it/eCBQ,3.5,movie,414531
2017-07-15,Pitfall,1962.0,https://boxd.it/uXm,3.5,movie,54146
2017-07-15,The Breaking Point,1950.0,https://boxd.it/1770,4.0,movie,37954
2017-07-15,The Other Side of Hope,2017.0,https://boxd.it/fcFE,4.0,movie,429199
2017-07-15,He Walked by Night,1948.0,https://boxd.it/1iPM,3.0,movie,31556
2017-07-15,Random Harvest,1942.0,https://boxd.it/1AEC,3.5,movie,22387
2017-07-15,Nocturama,2016.0,https://boxd.it/dfdk,2.5,movie,380623
2017-07-15,A Touch of Zen,1970.0,https://boxd.it/SFm,4.0,movie,44154
2017-07-15,The Hourglass Sanatorium,1973.0,https://boxd.it/OUW,3.0,movie,45698
2017-07-15,Flames,1978.0,https://boxd.it/5KOK,4.5,movie,190384
2017-07-15,Tam Tam,1976.0,https://boxd.it/80ge,4.0,movie,267606
2017-07-15,Breakaway,1967.0,https://boxd.it/4inO,4.0,movie,132367
2017-07-15,Three Screen Ray,2006.0,https://boxd.it/glLS,4.0,movie,457758
2017-07-15,Cosmic Ray,1962.0,https://boxd.it/4inE,4.0,movie,132364
2017-07-15,Looking for Mushrooms,1967.0,https://boxd.it/4ggm,4.0,movie,130851
2017-07-15,Aquarius,2016.0,https://boxd.it/d6YQ,2.0,movie,377273
2017-07-15,A Glass of Whiskey,1959.0,https://boxd.it/fXHM,3.0,movie,448124
2017-07-15,Happy End,1967.0,https://boxd.it/B4o,3.5,movie,51578
2017-07-15,Dragon Ball: Curse of the Blood Rubies,1986.0,https://boxd.it/14mG,2.5,movie,39144
2017-07-15,The Constant Factor,1980.0,https://boxd.it/5YuO,3.0,movie,198500
2017-07-15,Two in the Wave,2010.0,https://boxd.it/5l8,3.0,movie,64074
2017-07-15,Toutes les nuits,2001.0,https://boxd.it/372o,4.5,movie,87693
2017-07-15,Thérèse Raquin,1953.0,https://boxd.it/2f3M,3.5,movie,67736
2017-07-15,Kika,1993.0,https://boxd.it/20sM,3.0,movie,8223
2017-07-15,Matador,1986.0,https://boxd.it/20EI,3.0,movie,8047
2017-07-15,Raw,2016.0,https://boxd.it/dLd2,3.5,movie,393519
2017-07-15,31,2016.0,https://boxd.it/8NY0,2.0,movie,284564
2017-07-15,South,1999.0,https://boxd.it/6aUY,3.5,movie,205980
2017-07-15,Criminal Court,1946.0,https://boxd.it/NY4,2.5,movie,46095
2017-07-15,Libeled Lady,1936.0,https://boxd.it/1imK,3.0,movie,31773
2017-07-15,Looking for Mushrooms,1996.0,https://boxd.it/dSdo,4.0,movie,396298
2017-07-15,Crossroads,1976.0,https://boxd.it/3KAY,4.5,movie,111793
2017-07-15,Report,1967.0,https://boxd.it/378m,4.5,movie,87981
2017-07-15,A Movie,1958.0,https://boxd.it/4cM4,4.0,movie,128682
2017-07-15,So Big,1953.0,https://boxd.it/2bYO,4.0,movie,68977
2017-07-15,Magnificent Obsession,1954.0,https://boxd.it/1Q8M,4.0,movie,13457
2017-07-15,Fireworks,1947.0,https://boxd.it/SjA,4.0,movie,44296
2017-07-15,The Man with the Suitcase,1983.0,https://boxd.it/cMNy,4.0,movie,368929
2017-07-15,The Eighties,1983.0,https://boxd.it/4nXi,4.0,movie,136053
2017-07-15,Une Femme Coquette,1955.0,https://boxd.it/cHSe,3.5,movie,366851
2017-07-15,Golden Eighties,1986.0,https://boxd.it/67Q,4.5,movie,63763
2017-07-15,Moby Dick,1956.0,https://boxd.it/1Wvi,4.0,movie,10339
2017-07-15,Born in Flames,1983.0,https://boxd.it/19IC,4.0,movie,36832
2017-07-15,Working Girls,1986.0,https://boxd.it/3kYA,4.0,movie,96349
2017-07-15,Moonlight,2016.0,https://boxd.it/d6bE,3.5,movie,376867
2017-07-15,Diamond Jim,1935.0,https://boxd.it/4iWk,3.5,movie,132631
2017-07-15,Manchester by the Sea,2016.0,https://boxd.it/b2L0,3.0,movie,334541
