Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-08-26,The Story of a Cheat,1936,https://letterboxd.com/danielquinn/film/the-story-of-a-cheat/,3.5,,,2017-08-25
2017-08-26,The Love of a Woman,1953,https://letterboxd.com/danielquinn/film/the-love-of-a-woman/,4,,,2017-08-26
2017-08-27,Living in Seville,1978,https://letterboxd.com/danielquinn/film/living-in-seville/,3.5,,,2017-08-26
2017-08-27,The Big Trail,1930,https://letterboxd.com/danielquinn/film/the-big-trail/,4,,,2017-08-26
2017-08-27,Road House,1948,https://letterboxd.com/danielquinn/film/road-house-1948/,4,,,2017-08-26
2017-08-27,Jimmy the Gent,1934,https://letterboxd.com/danielquinn/film/jimmy-the-gent/,3.5,,,2017-08-26
2017-08-28,The Dawn Patrol,1930,https://letterboxd.com/danielquinn/film/the-dawn-patrol-1930/,4,,,2017-08-27
2017-08-28,Destry Rides Again,1939,https://letterboxd.com/danielquinn/film/destry-rides-again/,3.5,,,2017-08-27
2017-08-28,Wife! Be Like a Rose!,1935,https://letterboxd.com/danielquinn/film/wife-be-like-a-rose/,4,,,2017-08-27
2017-08-28,Chinese Roulette,1976,https://letterboxd.com/danielquinn/film/chinese-roulette/,3.5,,,2017-08-27
2017-08-29,La Roue,1923,https://letterboxd.com/danielquinn/film/la-roue-1923/,4,,,2017-08-28
2017-08-29,American Guerrilla in the Philippines,1950,https://letterboxd.com/danielquinn/film/american-guerrilla-in-the-philippines/,3,,,2017-08-28
2017-08-29,Rain,1932,https://letterboxd.com/danielquinn/film/rain/,4,,,2017-08-28
2017-08-29,A Whistle in My Heart,1959,https://letterboxd.com/danielquinn/film/a-whistle-in-my-heart/,4.5,,,2017-08-28
2017-08-30,Germany Year 90 Nine Zero,1991,https://letterboxd.com/danielquinn/film/germany-year-90-nine-zero/,4.5,,,2017-08-29
2017-08-30,Captain Blood,1935,https://letterboxd.com/danielquinn/film/captain-blood/,3.5,,,2017-08-29
2017-08-30,To Each His Own,1946,https://letterboxd.com/danielquinn/film/to-each-his-own/,3.5,,,2017-08-29
2017-08-30,Orgullo,1955,https://letterboxd.com/danielquinn/film/orgullo/,4,,,2017-08-29
2017-08-30,A Moment of Innocence,1996,https://letterboxd.com/danielquinn/film/a-moment-of-innocence/,4,,,2017-08-30
2017-08-31,Scandal Sheet,1952,https://letterboxd.com/danielquinn/film/scandal-sheet/,3.5,,,2017-08-30
2017-08-31,Petal Dance,2013,https://letterboxd.com/danielquinn/film/petal-dance/,2,,,2017-08-30
2017-08-31,A Woman's Face,1941,https://letterboxd.com/danielquinn/film/a-womans-face/,3.5,,,2017-08-30
2017-09-01,The Comedy of Terrors,1963,https://letterboxd.com/danielquinn/film/the-comedy-of-terrors/,2,,,2017-08-31
2017-09-01,The Company She Keeps,1951,https://letterboxd.com/danielquinn/film/the-company-she-keeps/,3,,,2017-08-31
2017-09-02,Movement Studies in Paris,1928,https://letterboxd.com/danielquinn/film/movement-studies-in-paris/,4,,,2017-09-01
2017-09-02,Film Study,1926,https://letterboxd.com/danielquinn/film/film-study/,3.5,,,2017-09-01
2017-09-02,Rhythm 21,1923,https://letterboxd.com/danielquinn/film/rhythm-21/,3,,,2017-09-01
2017-09-02,Rhythm 23,1925,https://letterboxd.com/danielquinn/film/rhythm-23/,3,,,2017-09-01
2017-09-02,Ghosts Before Breakfast,1928,https://letterboxd.com/danielquinn/film/ghosts-before-breakfast/,3.5,,,2017-09-01
2017-09-02,The Rediscovered Paradise,1925,https://letterboxd.com/danielquinn/film/the-rediscovered-paradise/,3,,,2017-09-01
